FID,START_X,START_Y,END_X,END_Y
1,269.611206,152.05243,356.9240112,310.14123
2,249.5117187,514.990780001,272.218872,470.97082
3,258.3590698,515.574580001,271.9851684,490.9682
4,270.6622924,524.702640001,269.1347046,147.78143
5,355.8302002,348.479800001,337.5810733205,600
6,366.9730835,338.132990001,426.9185141723,600
7,198.237915,222.724420001,175.1561889,597.603030001
8,151.2785034,261.724610001,154.4623059774,600
9,29.5026855,300.724610001,96.3599853,514.82739
10,386.0808105,33.3621800002,440.585083,275.191830001
